"time","der(h)","der(v)","e","g","h","v","v_new"
0.686,0.8004,-9.81,0,5.95013e-315,0.457348,0.8004,3.10061
0.688,0.78078,-9.81,0,6.36599e-314,0.458929,0.78078,3.10061
0.69,0.76116,-9.81,0,4.94066e-324,0.460471,0.76116,3.10061
0.692,0.74154,-9.81,0,3.39519e-313,0.461973,0.74154,3.10061
0.694,0.72192,-9.81,0,20,0.463437,0.72192,3.10061
0.696,0.7023,-9.81,0,9.88131e-324,0.464861,0.7023,3.10061
0.698,0.68268,-9.81,0,6.33813e-315,0.466246,0.68268,3.10061
0.7,0.66306,-9.81,0,6.37131e-315,0.467592,0.66306,3.10061
0.702,0.64344,-9.81,0,6.36599e-313,0.468898,0.64344,3.10061
0.704,0.62382,-9.81,0,-3.82747e-270,0.470166,0.62382,3.10061
0.706,0.6042,-9.81,0,6.33812e-315,0.471394,0.6042,3.10061
0.708,0.58458,-9.81,0,6.37131e-315,0.472582,0.58458,3.10061
0.71,0.56496,-9.81,0,2.122e-314,0.473732,0.56496,3.10061
0.712,0.54534,-9.81,0,9.88131e-324,0.474842,0.54534,3.10061
0.714,0.52572,-9.81,0,2.97463e-315,0.475913,0.52572,3.10061
0.716,0.5061,-9.81,0,6.36595e-315,0.476945,0.5061,3.10061
0.718,0.48648,-9.81,0,2.84347e-312,0.477938,0.48648,3.10061
0.72,0.46686,-9.81,0,0,0.478891,0.46686,3.10061
0.722,0.44724,-9.81,0,0,0.479805,0.44724,3.10061
0.724,0.42762,-9.81,0,-7.06215e-251,0.48068,0.42762,3.10061
0.726,0.408,-9.81,0,-2.00012,0.481516,0.408,3.10061
0.728,0.38838,-9.81,0,nan,0.482312,0.38838,3.10061
0.73,0.36876,-9.81,0,-2.00012,0.483069,0.36876,3.10061
0.732,0.34914,-9.81,0,nan,0.483787,0.34914,3.10061
0.734,0.32952,-9.81,0,1.061e-314,0.484466,0.32952,3.10061
0.736,0.3099,-9.81,0,-2.00012,0.485105,0.3099,3.10061
0.738,0.29028,-9.81,0,nan,0.485705,0.29028,3.10061
0.74,0.27066,-9.81,0,2.122e-314,0.486266,0.27066,3.10061
0.742,0.25104,-9.81,0,1.33509e-307,0.486788,0.25104,3.10061
0.744,0.23142,-9.81,0,-1.30305e-231,0.48727,0.23142,3.10061
0.746,0.2118,-9.81,0,1.2732e-313,0.487714,0.2118,3.10061
0.748,0.19218,-9.81,0,1.061e-313,0.488118,0.19218,3.10061
0.75,0.17256,-9.81,0,-10,0.488482,0.17256,3.10061
0.752,0.15294,-9.81,0,-5,0.488808,0.15294,3.10061
0.754,0.13332,-9.81,0,0,0.489094,0.13332,3.10061
0.756,0.1137,-9.81,0,5,0.489341,0.1137,3.10061
0.758,0.0940798,-9.81,0,10,0.489549,0.0940798,3.10061
0.76,0.0744598,-9.81,0,2,0.489717,0.0744598,3.10061
0.762,0.0548398,-9.81,0,6.20539e-315,0.489847,0.0548398,3.10061
0.764,0.0352198,-9.81,0,-1.30345e-231,0.489937,0.0352198,3.10061
0.766,0.0155998,-9.81,0,4.24399e-314,0.489988,0.0155998,3.10061
0.768,-0.00402024,-9.81,0,0,0.489999,-0.00402024,3.10061
0.77,-0.0236402,-9.81,0,0,0.489972,-0.0236402,3.10061
0.772,-0.0432602,-9.81,0,6.36595e-315,0.489905,-0.0432602,3.10061
0.774,-0.0628802,-9.81,0,5.32411e-315,0.489798,-0.0628802,3.10061
0.776,-0.0825002,-9.81,0,2.97379e-315,0.489653,-0.0825002,3.10061
0.778,-0.10212,-9.81,0,6.36599e-314,0.489468,-0.10212,3.10061
0.78,-0.12174,-9.81,0,2,0.489245,-0.12174,3.10061
0.782,-0.14136,-9.81,0,6.2242e-315,0.488982,-0.14136,3.10061
0.784,-0.16098,-9.81,0,-3.83143e-270,0.488679,-0.16098,3.10061
0.786,-0.1806,-9.81,0,5.95013e-315,0.488338,-0.1806,3.10061
0.788,-0.20022,-9.81,0,4.94066e-324,0.487957,-0.20022,3.10061
0.79,-0.21984,-9.81,0,0,0.487537,-0.21984,3.10061
0.792,-0.23946,-9.81,0,3.39519e-313,0.487077,-0.23946,3.10061
0.794,-0.25908,-9.81,0,30,0.486579,-0.25908,3.10061
0.796,-0.2787,-9.81,0,9.88131e-324,0.486041,-0.2787,3.10061
0.798,-0.29832,-9.81,0,6.33812e-315,0.485464,-0.29832,3.10061
0.8,-0.31794,-9.81,0,6.3713e-315,0.484848,-0.31794,3.10061
0.802,-0.33756,-9.81,0,2.3342e-313,0.484192,-0.33756,3.10061
0.804,-0.35718,-9.81,0,1.69113e-306,0.483498,-0.35718,3.10061
0.806,-0.3768,-9.81,0,1.60218e-306,0.482764,-0.3768,3.10061
0.808,-0.39642,-9.81,0,1.78022e-306,0.48199,-0.39642,3.10061
0.81,-0.41604,-9.81,0,9.34604e-307,0.481178,-0.41604,3.10061
0.812,-0.43566,-9.81,0,6.24075e-228,0.480326,-0.43566,3.10061
0.814,-0.45528,-9.81,0,0,0.479435,-0.45528,3.10061
0.816,-0.4749,-9.81,0,0,0.478505,-0.4749,3.10061
0.818,-0.49452,-9.81,0,0,0.477536,-0.49452,3.10061
0.82,-0.51414,-9.81,0,0,0.476527,-0.51414,3.10061
0.822,-0.53376,-9.81,0,0,0.475479,-0.53376,3.10061
0.824,-0.55338,-9.81,0,0,0.474392,-0.55338,3.10061
0.826,-0.573,-9.81,0,0,0.473266,-0.573,3.10061
0.828,-0.59262,-9.81,0,0,0.4721,-0.59262,3.10061
0.83,-0.61224,-9.81,0,0,0.470895,-0.61224,3.10061
0.832,-0.63186,-9.81,0,0,0.469651,-0.63186,3.10061
0.834,-0.65148,-9.81,nan,0,0.468368,-0.65148,3.10061
0.836,-0.6711,-9.81,nan,0,0.467045,-0.6711,3.10061
0.838,-0.69072,-9.81,nan,0,0.465683,-0.69072,3.10061
0.84,-0.71034,-9.81,nan,0,0.464282,-0.71034,3.10061
0.842,-0.72996,-9.81,nan,0,0.462842,-0.72996,3.10061
0.844,-0.74958,-9.81,nan,0,0.461362,-0.74958,3.10061
0.846,-0.7692,-9.81,nan,0,0.459844,-0.7692,3.10061
0.848,-0.78882,-9.81,nan,0,0.458286,-0.78882,3.10061
0.85,-0.80844,-9.81,nan,0,0.456688,-0.80844,3.10061
0.852,-0.82806,-9.81,nan,0,0.455052,-0.82806,3.10061
0.854,-0.84768,-9.81,nan,0,0.453376,-0.84768,3.10061
0.856,-0.8673,-9.81,nan,0,0.451661,-0.8673,3.10061
0.858,-0.88692,-9.81,0,0,0.449907,-0.88692,3.10061
0.86,-0.90654,-9.81,nan,0,0.448113,-0.90654,3.10061
0.862,-0.92616,-9.81,nan,0,0.446281,-0.92616,3.10061
0.864,-0.94578,-9.81,nan,0,0.444409,-0.94578,3.10061
0.866,-0.9654,-9.81,4.2435e-314,0,0.442498,-0.9654,3.10061
0.868,-0.98502,-9.81,5.27766e+13,0,0.440547,-0.98502,3.10061
0.87,-1.00464,-9.81,3.40931e-23,0,0.438557,-1.00464,3.10061
0.872,-1.02426,-9.81,nan,0,0.436529,-1.02426,3.10061
0.874,-1.04388,-9.81,nan,0,0.43446,-1.04388,3.10061
0.876,-1.0635,-9.81,nan,0,0.432353,-1.0635,3.10061
0.878,-1.08312,-9.81,nan,0,0.430206,-1.08312,3.10061
0.88,-1.10274,-9.81,1.54811e+15,0,0.428021,-1.10274,3.10061
0.882,-1.12236,-9.81,5.3299e-43,0,0.425795,-1.12236,3.10061
0.884,-1.14198,-9.81,1.3411e-08,0,0.423531,-1.14198,3.10061
0.886,-1.1616,-9.81,2.122e-314,0,0.421228,-1.1616,3.10061
0.888,-1.18122,-9.81,2.97371e-315,0,0.418885,-1.18122,3.10061
0.89,-1.20084,-9.81,0,0,0.416503,-1.20084,3.10061
0.892,-1.22046,-9.81,0,0,0.414081,-1.22046,3.10061
0.894,-1.24008,-9.81,0,0,0.411621,-1.24008,3.10061
0.896,-1.2597,-9.81,5.28609e-315,0,0.409121,-1.2597,3.10061
0.898,-1.27932,-9.81,0,0,0.406582,-1.27932,3.10061
0.9,-1.29894,-9.81,0,0,0.404004,-1.29894,3.10061
0.902,-1.31856,-9.81,0,0,0.401386,-1.31856,3.10061
0.904,-1.33818,-9.81,0,0,0.39873,-1.33818,3.10061
0.906,-1.3578,-9.81,0.0078125,0,0.396034,-1.3578,3.10061
0.908,-1.37742,-9.81,0,0,0.393298,-1.37742,3.10061
0.91,-1.39704,-9.81,0,0,0.390524,-1.39704,3.10061
0.912,-1.41666,-9.81,0,0,0.38771,-1.41666,3.10061
0.914,-1.43628,-9.81,1.61326e-307,0,0.384857,-1.43628,3.10061
0.916,-1.4559,-9.81,3.29061e-229,0,0.381965,-1.4559,3.10061
0.918,-1.47552,-9.81,5.95909e-315,0,0.379034,-1.47552,3.10061
0.92,-1.49514,-9.81,5.1061e-315,0,0.376063,-1.49514,3.10061
0.922,-1.51476,-9.81,7.90505e-323,0,0.373053,-1.51476,3.10061
0.924,-1.53438,-9.81,4.00525e-307,0,0.370004,-1.53438,3.10061
0.926,-1.554,-9.81,9.52025e-316,0,0.366916,-1.554,3.10061
0.928,-1.57362,-9.81,5.29278e-315,0,0.363788,-1.57362,3.10061
0.93,-1.59324,-9.81,0,0,0.360621,-1.59324,3.10061
0.932,-1.61286,-9.81,0,0,0.357415,-1.61286,3.10061
0.934,-1.63248,-9.81,8.48954e-314,0,0.35417,-1.63248,3.10061
0.936,-1.6521,-9.81,6.39095e-314,0,0.350885,-1.6521,3.10061
0.938,-1.67172,-9.81,1.69119e-306,0,0.347561,-1.67172,3.10061
0.94,-1.69134,-9.81,1.86922e-306,0,0.344198,-1.69134,3.10061
0.942,-1.71096,-9.81,9.52044e-316,0,0.340796,-1.71096,3.10061
0.944,-1.73058,-9.81,5.90783e-315,0,0.337354,-1.73058,3.10061
0.946,-1.7502,-9.81,0,0,0.333874,-1.7502,3.10061
0.948,-1.76982,-9.81,0,0,0.330354,-1.76982,3.10061
0.95,-1.78944,-9.81,4.24584e-314,0,0.326794,-1.78944,3.10061
0.952,-1.80906,-9.81,2.1469e-314,0,0.323196,-1.80906,3.10061
0.954,-1.82868,-9.81,0,0,0.319558,-1.82868,3.10061
0.956,-1.8483,-9.81,9.34609e-307,0,0.315881,-1.8483,3.10061
0.958,-1.86792,-9.81,9.52022e-316,0,0.312165,-1.86792,3.10061
0.96,-1.88754,-9.81,5.9071e-315,0,0.308409,-1.88754,3.10061
0.962,-1.90716,-9.81,0,0,0.304615,-1.90716,3.10061
0.964,-1.92678,-9.81,0,0,0.300781,-1.92678,3.10061
0.966,-1.9464,-9.81,6.41177e-314,0,0.296908,-1.9464,3.10061
0.968,-1.96602,-9.81,2.14693e-314,0,0.292995,-1.96602,3.10061
0.97,-1.98564,-9.81,9.34605e-307,0,0.289043,-1.98564,3.10061
0.972,-2.00526,-9.81,5.0069e-308,0,0.285053,-2.00526,3.10061
0.974,-2.02488,-9.81,9.52022e-316,0,0.281022,-2.02488,3.10061
0.976,-2.0445,-9.81,5.90746e-315,0,0.276953,-2.0445,3.10061
0.978,-2.06412,-9.81,0,0,0.272844,-2.06412,3.10061
0.98,-2.08374,-9.81,0,0,0.268697,-2.08374,3.10061
0.982,-2.10336,-9.81,6.3666e-314,0,0.264509,-2.10336,3.10061
0.984,-2.12298,-9.81,6.39092e-314,0,0.260283,-2.12298,3.10061
0.986,-2.1426,-9.81,5.00695e-308,0,0.256018,-2.1426,3.10061
0.988,-2.16222,-9.81,5.00694e-308,0,0.251713,-2.16222,3.10061
0.99,-2.18184,-9.81,9.52044e-316,0,0.247369,-2.18184,3.10061
0.992,-2.20146,-9.81,5.91631e-315,0,0.242985,-2.20146,3.10061
0.994,-2.22108,-9.81,0,0,0.238563,-2.22108,3.10061
0.996,-2.2407,-9.81,0,0,0.234101,-2.2407,3.10061
0.998,-2.26032,-9.81,4.2492e-314,0,0.2296,-2.26032,3.10061
1,-2.27994,-9.81,2.1469e-314,0,0.22506,-2.27994,3.10061
1,-2.27994,-9.81,1.78019e-306,0,0.22506,-2.27994,3.10061
