"time", "stairBouncingBall.Root.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.$wallTime", "stairBouncingBall.Root.stairBouncingBallwin3264.x", "stairBouncingBall.Root.stairBouncingBallwin3264.der(x)", "stairBouncingBall.Root.stairBouncingBallwin3264.y", "stairBouncingBall.Root.stairBouncingBallwin3264.der(y)", "stairBouncingBall.Root.stairBouncingBallwin3264.xs", "stairBouncingBall.Root.stairBouncingBallwin3264.der(xs)", "stairBouncingBall.Root.stairBouncingBallwin3264.ys", "stairBouncingBall.Root.stairBouncingBallwin3264.der(ys)", "stairBouncingBall.Root.stairBouncingBallwin3264.rebound", "stairBouncingBall.Root.stairBouncingBallwin3264.stair"
0.25, 0.0009972, 0, 0.698451875262, 0.487654812474, 10.196361638, -2.4212989006, 0.487654812474, -0.0487654812474, -2.4212989006, -9.56452010994, 0, 10
0.26, 0.0009972, 0, 0.703326203607, 0.487167379639, 10.1717132772, -2.51690057511, 0.487167379639, -0.0487167379639, -2.51690057511, -9.55495994249, 0, 10
0.26, 0.0009972, 0, 0.703326203607, 0.487167379639, 10.1717132772, -2.51690057511, 0.487167379639, -0.0487167379639, -2.51690057511, -9.55495994249, 0, 10
0.27, 0.0009972, 0, 0.708195642785, 0.486680435722, 10.1461059894, -2.61240635528, 0.486680435722, -0.0486680435722, -2.61240635528, -9.54540936447, 0, 10
0.27, 0.0009972, 0, 0.708195642785, 0.486680435722, 10.1461059894, -2.61240635528, 0.486680435722, -0.0486680435722, -2.61240635528, -9.54540936447, 0, 10
0.28, 0.0009972, 0, 0.713060192797, 0.48619398072, 10.1195397747, -2.7078162411, 0.48619398072, -0.048619398072, -2.7078162411, -9.53586837589, 0, 10
0.28, 0.0009972, 0, 0.713060192797, 0.48619398072, 10.1195397747, -2.7078162411, 0.48619398072, -0.048619398072, -2.7078162411, -9.53586837589, 0, 10
0.29, 0.0009972, 0, 0.717919853643, 0.485708014636, 10.0920146331, -2.80313023258, 0.485708014636, -0.0485708014636, -2.80313023258, -9.52633697674, 0, 10
0.29, 0.0009972, 0, 0.717919853643, 0.485708014636, 10.0920146331, -2.80313023258, 0.485708014636, -0.0485708014636, -2.80313023258, -9.52633697674, 0, 10
0.3, 0.0009972, 0, 0.722774625323, 0.485222537468, 10.0635305645, -2.89834832971, 0.485222537468, -0.0485222537468, -2.89834832971, -9.51681516703, 0, 10
0.3, 0.0009972, 0, 0.722774625323, 0.485222537468, 10.0635305645, -2.89834832971, 0.485222537468, -0.0485222537468, -2.89834832971, -9.51681516703, 0, 10
0.31, 0.0009972, 0, 0.727624507836, 0.484737549216, 10.034087569, -2.9934705325, 0.484737549216, -0.0484737549216, -2.9934705325, -9.50730294675, 0, 10
0.31, 0.0009972, 0, 0.727624507836, 0.484737549216, 10.034087569, -2.9934705325, 0.484737549216, -0.0484737549216, -2.9934705325, -9.50730294675, 0, 10
0.32, 0.0009972, 0, 0.732469501184, 0.484253049882, 10.0036856465, -3.08849684095, 0.484253049882, -0.0484253049882, -3.08849684095, -9.49780031591, 0, 10
0.32, 0.0009972, 0, 0.732469501184, 0.484253049882, 10.0036856465, -3.08849684095, 0.484253049882, -0.0484253049882, -3.08849684095, -9.49780031591, 0, 10
0.33, 0.0009972, 0, 0.737309612891, 0.483769038711, 9.99678208422, 2.5835859519, 0.483769038711, -0.0483769038711, 2.5835859519, 234.218991166, 1, 10
0.33, 0.0009972, 0, 0.737309612891, 0.483769038711, 9.99678208422, 2.5835859519, 0.483769038711, -0.0483769038711, 2.5835859519, 234.218991166, 1, 10
0.34, 0.0009972, 0, 0.742143017233, 0.483285698277, 10.0227142688, 2.58412315617, 0.483285698277, -0.0483285698277, 2.58412315617, -10.0650623156, 0, 10
0.34, 0.0009972, 0, 0.742143017233, 0.483285698277, 10.0227142688, 2.58412315617, 0.483285698277, -0.0483285698277, 2.58412315617, -10.0650623156, 0, 10
0.35, 0.0009972, 0, 0.746970410206, 0.482802958979, 10.0474175482, 2.48358632823, 0.482802958979, -0.0482802958979, 2.48358632823, -10.0550086328, 0, 10
0.35, 0.0009972, 0, 0.746970410206, 0.482802958979, 10.0474175482, 2.48358632823, 0.482802958979, -0.0482802958979, 2.48358632823, -10.0550086328, 0, 10
0.36, 0.0009972, 0, 0.751794586279, 0.482320541372, 10.0714508659, 2.38311649646, 0.482320541372, -0.0482320541372, 2.38311649646, -10.0449616496, 0, 10
0.36, 0.0009972, 0, 0.751794586279, 0.482320541372, 10.0714508659, 2.38311649646, 0.482320541372, -0.0482320541372, 2.38311649646, -10.0449616496, 0, 10
0.37, 0.0009972, 0, 0.756614542055, 0.481838545794, 10.0946052509, 2.28273455796, 0.481838545794, -0.0481838545794, 2.28273455796, -10.0349234558, 0, 10
0.37, 0.0009972, 0, 0.756614542055, 0.481838545794, 10.0946052509, 2.28273455796, 0.481838545794, -0.0481838545794, 2.28273455796, -10.0349234558, 0, 10
0.38, 0.0009972, 0, 0.761429765822, 0.481357023418, 10.1167741327, 2.18245116979, 0.481357023418, -0.0481357023418, 2.18245116979, -10.024895117, 0, 10
0.38, 0.0009972, 0, 0.761429765822, 0.481357023418, 10.1167741327, 2.18245116979, 0.481357023418, -0.0481357023418, 2.18245116979, -10.024895117, 0, 10
0.39, 0.0009972, 0, 0.766240672024, 0.480875932798, 10.1380438244, 2.08225770061, 0.480875932798, -0.0480875932798, 2.08225770061, -10.0148757701, 0, 10
0.39, 0.0009972, 0, 0.766240672024, 0.480875932798, 10.1380438244, 2.08225770061, 0.480875932798, -0.0480875932798, 2.08225770061, -10.0148757701, 0, 10
0.4, 0.0009972, 0, 0.771046692642, 0.480395330736, 10.158296029, 1.98216598015, 0.480395330736, -0.0480395330736, 1.98216598015, -10.004866598, 0, 10
0.4, 0.0009972, 0, 0.771046692642, 0.480395330736, 10.158296029, 1.98216598015, 0.480395330736, -0.0480395330736, 1.98216598015, -10.004866598, 0, 10
0.41, 0.0009972, 0, 0.775848084024, 0.479915191598, 10.177584134, 1.88217066966, 0.479915191598, -0.0479915191598, 1.88217066966, -9.99486706697, 0, 10
0.41, 0.0009972, 0, 0.775848084024, 0.479915191598, 10.177584134, 1.88217066966, 0.479915191598, -0.0479915191598, 1.88217066966, -9.99486706697, 0, 10
0.42, 0.0019943, 0.0009971, 0.780644718483, 0.479435528152, 10.1958815472, 1.78227442834, 0.479435528152, -0.0479435528152, 1.78227442834, -9.98487744283, 0, 10
0.42, 0.0019943, 0.0009971, 0.780644718483, 0.479435528152, 10.1958815472, 1.78227442834, 0.479435528152, -0.0479435528152, 1.78227442834, -9.98487744283, 0, 10
0.43, 0.0019943, 0.0009971, 0.785436539059, 0.478956346094, 10.2131764055, 1.6824784425, 0.478956346094, -0.0478956346094, 1.6824784425, -9.97489784425, 0, 10
0.43, 0.0019943, 0.0009971, 0.785436539059, 0.478956346094, 10.2131764055, 1.6824784425, 0.478956346094, -0.0478956346094, 1.6824784425, -9.97489784425, 0, 10
0.44, 0.0019943, 0.0009971, 0.790223624675, 0.478477637532, 10.2294851461, 1.58278106845, 0.478477637532, -0.0478477637532, 1.58278106845, -9.96492810684, 0, 10
0.44, 0.0019943, 0.0009971, 0.790223624675, 0.478477637532, 10.2294851461, 1.58278106845, 0.478477637532, -0.0478477637532, 1.58278106845, -9.96492810684, 0, 10
0.45, 0.0019943, 0.0009971, 0.795005975332, 0.477999402467, 10.2448077688, 1.48318230618, 0.477999402467, -0.0477999402467, 1.48318230618, -9.95496823062, 0, 10
0.45, 0.0019943, 0.0009971, 0.795005975332, 0.477999402467, 10.2448077688, 1.48318230618, 0.477999402467, -0.0477999402467, 1.48318230618, -9.95496823062, 0, 10
0.46, 0.0019943, 0.0009971, 0.799783539498, 0.47752164605, 10.2591335417, 1.38368322888, 0.47752164605, -0.047752164605, 1.38368322888, -9.94501832289, 0, 10
0.46, 0.0019943, 0.0009971, 0.799783539498, 0.47752164605, 10.2591335417, 1.38368322888, 0.47752164605, -0.047752164605, 1.38368322888, -9.94501832289, 0, 10
0.47, 0.0019943, 0.0009971, 0.804556335316, 0.477044366468, 10.2724662434, 1.28428345871, 0.477044366468, -0.0477044366468, 1.28428345871, -9.93507834587, 0, 10
0.47, 0.0019943, 0.0009971, 0.804556335316, 0.477044366468, 10.2724662434, 1.28428345871, 0.477044366468, -0.0477044366468, 1.28428345871, -9.93507834587, 0, 10
0.48, 0.0019943, 0.0009971, 0.809324377098, 0.47656756229, 10.2848088542, 1.18498269764, 0.47656756229, -0.047656756229, 1.18498269764, -9.92514826976, 0, 10
0.48, 0.0019943, 0.0009971, 0.809324377098, 0.47656756229, 10.2848088542, 1.18498269764, 0.47656756229, -0.047656756229, 1.18498269764, -9.92514826976, 0, 10
0.49, 0.0019943, 0.0009971, 0.814087664842, 0.476091233516, 10.2961613739, 1.08578094566, 0.476091233516, -0.0476091233516, 1.08578094566, -9.91522809457, 0, 10
0.49, 0.0019943, 0.0009971, 0.814087664842, 0.476091233516, 10.2961613739, 1.08578094566, 0.476091233516, -0.0476091233516, 1.08578094566, -9.91522809457, 0, 10
